ask,bid,due,emittent,ratio,strike,wkn,wkn_link
0.28,0.26,17.12.2018,CITI,1.0,14.5,CY3QW5,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY3QW5
0.53,0.52,21.06.2019,Vontobel Financial Products GmbH,1.0,14.5,VL69SS,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/VL69SS
0.079,0.069,16.12.2019,UBS,0.1,14.5,UW8SLU,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW8SLU
0.68,0.66,16.09.2019,CITI,1.0,14.6,CQ4082,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4082
0.37,0.36,11.03.2019,UBS,1.0,14.5,UV5FWQ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5FWQ
0.029,0.019,17.12.2018,UBS,0.1,14.5,UW7FUZ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW7FUZ
0.044,0.034,11.03.2019,CITI,0.1,14.5,CQ4V9T,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V9T
0.045,0.029,19.12.2018,HSBC,0.1,14.5,TD8RT1,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD8RT1
0.16,0.15,15.10.2018,UBS,1.0,14.5,UV5A12,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5A12
0.4,0.39,15.03.2019,Vontobel Financial Products GmbH,1.0,14.5,VL69SY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/VL69SY
0.48,0.47,13.05.2019,UBS,1.0,14.5,UV5G8T,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5G8T
0.63,0.54,19.06.2019,Deutsche Bank,1.0,14.5,DS028N,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DS028N
0.12,0.085,21.12.2018,Raiffeisen Centrobank AG,0.1,14.5,RC0M4D,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/RC0M4D
0.4,0.36,15.03.2019,BNP Paribas,1.0,14.5,PP56DR,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP56DR
0.02,0.01,15.10.2018,UBS,0.1,14.5,UV02JM,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV02JM
0.034,0.024,17.12.2018,CITI,0.1,14.4,CQ4V95,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V95
0.28,0.27,14.01.2019,UBS,1.0,14.5,UV5A1Z,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5A1Z
0.44,0.43,15.04.2019,UBS,1.0,14.5,UV462Z,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV462Z
0.045,0.035,11.03.2019,CITI,0.1,14.4,CQ4V9R,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V9R
0.042,0.032,11.03.2019,UBS,0.1,14.5,UV6ECM,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6ECM
0.29,0.27,17.12.2018,CITI,1.0,14.4,CQ4V96,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V96
0.086,0.076,16.12.2019,CITI,0.1,14.4,CQ40E3,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ40E3
0.43,0.41,11.03.2019,CITI,1.0,14.4,CQ4V9S,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V9S
0.42,0.4,13.03.2019,HypoVereinsbank/UniCredit,1.0,14.4,HW9EDP,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW9EDP
0.45,0.44,15.04.2019,UBS,1.0,14.4,UV45QZ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV45QZ
0.072,0.062,16.09.2019,CITI,0.1,14.4,CQ407Z,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ407Z
0.17,0.16,15.10.2018,UBS,1.0,14.4,UV5B65,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5B65
0.26,0.25,17.12.2018,UBS,1.0,14.4,UV5FHZ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5FHZ
0.21,0.2,12.11.2018,UBS,1.0,14.4,UV479X,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV479X
0.86,0.84,18.12.2019,Société Générale S.A.,1.0,14.4,SC97XD,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC97XD
0.57,0.55,19.06.2019,Société Générale S.A.,1.0,14.4,SC300D,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC300D
0.69,0.67,18.09.2019,Société Générale S.A.,1.0,14.4,SC64SW,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC64SW
0.78,0.77,18.12.2019,HypoVereinsbank/UniCredit,1.0,14.4,HW8XKK,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW8XKK
0.55,0.53,19.06.2019,HypoVereinsbank/UniCredit,1.0,14.4,HW73EX,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW73EX
0.72,0.7,16.09.2019,CITI,1.0,14.4,CQ407Y,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ407Y
0.3,0.28,19.12.2018,Société Générale S.A.,1.0,14.4,SC4W0T,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC4W0T
0.43,0.41,13.03.2019,Société Générale S.A.,1.0,14.4,SC2EZL,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC2EZL
0.052,0.042,13.05.2019,UBS,0.1,14.5,UV6FHU,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6FHU
0.021,0.011,15.10.2018,UBS,0.1,14.4,UV06M6,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV06M6
0.31,0.29,17.12.2018,CITI,1.0,14.3,CQ4V94,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V94
0.035,0.025,17.12.2018,CITI,0.1,14.3,CQ4V93,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V93
0.74,0.72,16.09.2019,CITI,1.0,14.3,CQ407X,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ407X
0.61,0.59,17.06.2019,CITI,1.0,14.3,CQ4070,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4070
0.061,0.051,17.06.2019,CITI,0.1,14.3,CQ4071,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4071
0.88,0.86,16.12.2019,CITI,1.0,14.3,CQ40E1,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ40E1
0.047,0.037,11.03.2019,CITI,0.1,14.3,CQ4V9P,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V9P
0.88,0.86,18.12.2019,Société Générale S.A.,1.0,14.3,SC97XC,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC97XC
0.088,0.078,16.12.2019,CITI,0.1,14.3,CQ40E0,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ40E0
0.31,0.29,19.12.2018,Société Générale S.A.,1.0,14.3,SC4W0S,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC4W0S
0.76,0.75,16.12.2019,UBS,1.0,14.4,UV5KWD,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5KWD
0.58,0.56,19.06.2019,Société Générale S.A.,1.0,14.3,SC300C,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC300C
0.025,0.015,12.11.2018,UBS,0.1,14.4,UV0YA1,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV0YA1
0.1,0.086,18.12.2019,HSBC,0.112,14.28,TD5GH3,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD5GH3
0.043,0.033,21.12.2018,DZ Bank AG,0.112,14.28,DGK9LM,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DGK9LM
0.074,0.064,16.09.2019,CITI,0.1,14.3,CQ407W,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ407W
0.052,0.036,19.12.2018,HSBC,0.112,14.28,TD5GH0,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD5GH0
0.058,0.042,13.03.2019,HSBC,0.112,14.28,TD75RZ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD75RZ
0.45,0.43,13.03.2019,Société Générale S.A.,1.0,14.3,SC2EZK,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC2EZK
0.75,0.73,16.09.2019,CITI,1.0,14.25,CQ5WYD,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ5WYD
0.31,0.3,21.12.2018,DZ Bank AG,1.0,14.25,DD3X2N,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD3X2N
0.46,0.44,11.03.2019,CITI,1.0,14.25,CQ43QM,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ43QM
0.075,0.065,16.09.2019,CITI,0.1,14.25,CQ5WYE,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ5WYE
0.048,0.038,11.03.2019,CITI,0.1,14.25,CQ43QN,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ43QN
0.15,0.13,16.12.2020,HSBC,0.112,14.28,TD64RS,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD64RS
0.44,0.43,15.03.2019,DZ Bank AG,1.0,14.25,DD5TT0,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD5TT0
0.26,0.25,12.11.2018,UBS,1.0,14.0,UV44WT,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV44WT
0.49,0.48,15.03.2019,Vontobel Financial Products GmbH,1.0,14.0,VL71FE,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/VL71FE
0.35,0.34,14.01.2019,UBS,1.0,14.0,UV459R,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV459R
0.089,0.079,16.12.2019,CITI,0.1,14.25,CQ0HZL,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ0HZL
0.8,0.78,16.09.2019,CITI,1.0,14.0,CQ407Q,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ407Q
0.075,0.059,19.06.2019,HSBC,0.1,14.0,TD8Y8E,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD8Y8E
0.35,0.31,21.12.2018,BNP Paribas,1.0,14.0,PR5K42,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PR5K42
0.84,0.83,20.12.2019,DZ Bank AG,1.0,14.0,DD3X24,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD3X24
0.7,0.68,18.09.2019,Société Générale S.A.,1.0,14.3,SC64SV,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC64SV
0.036,0.026,17.12.2018,UBS,0.1,14.0,UW7N6F,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW7N6F
0.32,0.31,17.12.2018,UBS,1.0,14.0,UV479W,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV479W
0.08,0.07,16.09.2019,CITI,0.1,14.0,CQ407R,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ407R
0.49,0.45,15.03.2019,BNP Paribas,1.0,14.0,PP2440,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP2440
0.058,0.048,15.03.2019,DZ Bank AG,0.1,14.0,DGV7DF,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DGV7DF
0.21,0.2,15.10.2018,UBS,1.0,14.0,UV5B5T,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5B5T
0.72,0.63,19.06.2019,Deutsche Bank,1.0,14.0,DS028M,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DS028M
0.5,0.48,11.03.2019,CITI,1.0,14.0,CQ4V9J,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V9J
0.026,0.016,15.10.2018,UBS,0.1,14.0,UV0XE6,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV0XE6
0.34,0.32,19.12.2018,Morgan Stanley & Co. International plc,1.0,14.0,MF2YXP,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/MF2YXP
0.35,0.33,17.12.2018,CITI,1.0,14.0,CY7ZL7,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY7ZL7
0.093,0.088,20.12.2019,Goldman Sachs,0.1,14.0,GM0LTG,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/GM0LTG
0.081,0.065,19.06.2019,HSBC,0.112,14.28,TD64RP,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD64RP
0.21,0.19,14.12.2022,HSBC,0.1,14.0,TR25TE,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR25TE
0.33,0.32,11.02.2019,UBS,1.0,14.5,UV44Y6,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV44Y6
0.082,0.072,16.09.2019,CITI,0.1,13.9,CQ407N,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ407N
0.69,0.67,17.06.2019,CITI,1.0,13.9,CQ406V,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ406V
0.96,0.94,16.12.2019,CITI,1.0,13.9,CQ40DV,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ40DV
0.053,0.043,11.03.2019,CITI,0.1,13.9,CQ4V9F,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V9F
0.97,0.95,18.12.2019,Société Générale S.A.,1.0,13.9,SC97W8,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC97W8
1.59,1.58,15.12.2021,HypoVereinsbank/UniCredit,1.0,14.0,HW4HC1,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW4HC1
0.088,0.078,20.09.2019,Commerzbank AG,0.1,14.0,CV3V4W,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CV3V4W
0.82,0.8,16.09.2019,CITI,1.0,13.9,CQ407P,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ407P
0.069,0.059,17.06.2019,CITI,0.1,13.9,CQ406U,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ406U
0.62,0.6,19.06.2019,HypoVereinsbank/UniCredit,1.0,14.0,HW73EV,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW73EV
0.37,0.35,19.12.2018,Société Générale S.A.,1.0,13.9,SC42Y5,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC42Y5
0.66,0.64,19.06.2019,Société Générale S.A.,1.0,13.9,SC30Z9,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC30Z9
0.94,0.92,18.12.2019,Société Générale S.A.,1.0,14.0,SC97W9,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC97W9
0.041,0.031,10.12.2018,UBS,0.112,13.83,UW2AEL,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW2AEL
0.38,0.36,17.12.2018,CITI,1.0,13.8,CQ43Q2,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ43Q2
0.52,0.5,11.03.2019,CITI,1.0,13.9,CQ4V9G,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V9G
0.29,0.28,12.11.2018,UBS,1.0,13.8,UV48NP,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV48NP
0.91,0.89,18.12.2019,HypoVereinsbank/UniCredit,1.0,13.8,HW9CFF,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW9CFF
0.52,0.5,13.03.2019,Société Générale S.A.,1.0,13.9,SC2EZG,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC2EZG
0.62,0.59,21.06.2019,DZ Bank AG,1.0,14.0,DD0KZD,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD0KZD
0.79,0.77,18.09.2019,Société Générale S.A.,1.0,13.9,SC64SS,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC64SS
0.35,0.34,21.12.2018,DZ Bank AG,1.0,14.0,DD0KYS,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD0KYS
0.99,0.97,18.12.2019,Société Générale S.A.,1.0,13.8,SC97W7,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC97W7
0.096,0.086,16.12.2019,CITI,0.1,13.9,CQ40DU,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ40DU
0.94,0.92,16.12.2019,CITI,1.0,14.0,CQ0HZK,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ0HZK
0.35,0.34,21.12.2018,Vontobel Financial Products GmbH,1.0,14.0,VL3Q8C,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/VL3Q8C
0.094,0.084,16.12.2019,CITI,0.1,14.0,CQ0HZJ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ0HZJ
0.067,0.057,17.06.2019,CITI,0.1,14.0,CY8M2Q,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY8M2Q
0.11,0.097,18.03.2020,HSBC,0.1,14.0,TR0618,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR0618
0.03,0.02,12.11.2018,UBS,0.1,14.0,UV061E,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV061E
0.062,0.052,17.06.2019,CITI,0.1,14.25,CY8M2S,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY8M2S
0.62,0.6,17.06.2019,CITI,1.0,14.25,CY8M2T,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY8M2T
0.89,0.87,16.12.2019,CITI,1.0,14.25,CQ0HZM,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ0HZM
0.24,0.23,15.10.2018,UBS,1.0,13.8,UV458V,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV458V
0.063,0.053,17.06.2019,CITI,0.1,14.2,CQ406Y,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ406Y
0.039,0.029,17.12.2018,CITI,0.1,14.0,CY7ZL8,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY7ZL8
0.09,0.08,16.12.2019,CITI,0.1,14.2,CQ40DZ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ40DZ
0.29,0.28,17.12.2018,UBS,1.0,14.2,UV46Y8,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV46Y8
0.036,0.026,17.12.2018,CITI,0.1,14.2,CQ4V92,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V92
0.76,0.74,16.09.2019,CITI,1.0,14.2,CQ407U,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ407U
0.9,0.88,18.12.2019,Société Générale S.A.,1.0,14.2,SC97XB,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC97XB
0.19,0.18,15.10.2018,UBS,1.0,14.2,UV469B,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV469B
0.53,0.52,13.05.2019,UBS,1.0,14.2,UV5C0L,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5C0L
0.45,0.43,13.03.2019,HypoVereinsbank/UniCredit,1.0,14.2,HW9EDN,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW9EDN
0.49,0.48,15.04.2019,UBS,1.0,14.2,UV5FX0,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5FX0
0.043,0.033,21.12.2018,Commerzbank AG,0.1,14.0,CV2VVQ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CV2VVQ
0.63,0.61,17.06.2019,CITI,1.0,14.2,CQ406Z,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ406Z
0.47,0.45,11.03.2019,CITI,1.0,14.2,CQ4V9N,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V9N
0.67,0.65,17.06.2019,CITI,1.0,14.0,CY8M2R,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY8M2R
0.042,0.032,11.02.2019,UBS,0.1,14.2,UV6LM1,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6LM1
0.82,0.8,18.12.2019,HypoVereinsbank/UniCredit,1.0,14.2,HW9CFG,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW9CFG
0.047,0.037,11.03.2019,UBS,0.1,14.2,UV6LLF,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6LLF
0.076,0.066,16.09.2019,CITI,0.1,14.2,CQ407V,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ407V
0.048,0.038,11.03.2019,CITI,0.1,14.2,CQ4V9M,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V9M
0.57,0.56,17.06.2019,UBS,1.0,14.2,UV5EPQ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5EPQ
0.46,0.44,13.03.2019,Société Générale S.A.,1.0,14.2,SC2EZJ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC2EZJ
0.23,0.22,12.11.2018,UBS,1.0,14.2,UV4901,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV4901
0.64,0.6,21.06.2019,BNP Paribas,1.0,14.0,PP1GQ3,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP1GQ3
0.039,0.029,17.12.2018,UBS,0.1,13.8,UW8WXJ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW8WXJ
0.35,0.34,17.12.2018,UBS,1.0,13.8,UV48NK,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV48NK
0.42,0.41,11.03.2019,UBS,1.0,14.2,UV5G8Q,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5G8Q
0.35,0.31,18.12.2018,BNP Paribas,1.0,14.0,PP0BXJ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP0BXJ
0.033,0.023,17.12.2018,UBS,0.1,14.2,UW7G6Z,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW7G6Z
0.73,0.72,20.09.2019,DZ Bank AG,1.0,14.0,DD1554,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD1554
0.64,0.62,19.06.2019,Société Générale S.A.,1.0,14.0,SC300A,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC300A
0.069,0.059,21.06.2019,Commerzbank AG,0.1,14.0,CV2VVS,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CV2VVS
0.048,0.038,11.02.2019,UBS,0.1,13.8,UV6RMG,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6RMG
0.038,0.033,21.12.2018,Goldman Sachs,0.1,14.0,GD6SMD,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/GD6SMD
0.64,0.6,18.06.2019,BNP Paribas,1.0,14.0,PP1GQS,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP1GQS
0.32,0.31,14.01.2019,UBS,1.0,14.2,UV490N,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV490N
0.028,0.018,12.11.2018,UBS,0.1,14.2,UV05PE,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV05PE
0.32,0.3,19.12.2018,HypoVereinsbank/UniCredit,1.0,14.2,HW48GP,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW48GP
0.58,0.57,19.06.2019,HypoVereinsbank/UniCredit,1.0,14.2,HW73EW,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW73EW
0.32,0.3,17.12.2018,CITI,1.0,14.2,CQ4V91,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V91
0.023,0.013,15.10.2018,UBS,0.1,14.2,UV04C0,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV04C0
0.6,0.58,19.06.2019,Société Générale S.A.,1.0,14.2,SC300B,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC300B
0.33,0.31,19.12.2018,Société Générale S.A.,1.0,14.2,SC42Y7,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC42Y7
0.15,0.12,16.06.2021,HSBC,0.1,14.0,TR0C2N,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR0C2N
0.72,0.7,18.09.2019,Société Générale S.A.,1.0,14.2,SC64SU,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC64SU
0.92,0.9,18.12.2019,Société Générale S.A.,1.0,14.1,SC97XA,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC97XA
0.65,0.63,17.06.2019,CITI,1.0,14.1,CQ406W,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ406W
