ask,bid,due,emittent,ratio,strike,wkn,wkn_link
1.24,1.22,18.12.2019,Société Générale S.A.,1.0,12.9,SC97WY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC97WY
0.06,0.05,17.12.2018,CITI,0.1,12.9,CQ43PM,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ43PM
0.57,0.55,17.12.2018,CITI,1.0,12.9,CQ43PN,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ43PN
1.05,1.03,18.09.2019,Société Générale S.A.,1.0,12.9,SC97WP,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC97WP
0.11,0.1,16.12.2019,UBS,0.1,13.0,UW974G,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW974G
1.15,1.13,21.12.2018,DZ Bank AG,1.0,11.25,DD47AM,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD47AM
0.7,0.68,13.03.2019,Société Générale S.A.,1.0,13.1,SC5K5G,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC5K5G
0.76,0.74,11.03.2019,CITI,1.0,12.9,CQ5WXY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ5WXY
0.72,0.7,15.03.2019,Vontobel Financial Products GmbH,1.0,13.0,VL7598,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/VL7598
0.11,0.1,16.09.2019,CITI,0.1,13.0,CQ43SC,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ43SC
1.1,1.09,20.12.2019,DZ Bank AG,1.0,13.0,DD4J07,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD4J07
1.11,1.09,18.12.2019,HypoVereinsbank/UniCredit,1.0,13.0,HW9ZA7,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW9ZA7
0.96,0.87,19.06.2019,Deutsche Bank,1.0,13.0,DS1Y6E,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DS1Y6E
0.4,0.38,17.12.2018,CITI,1.0,13.7,CQ43PZ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ43PZ
0.057,0.047,11.03.2019,CITI,0.1,13.7,CQ5WX9,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ5WX9
0.0,0.1,15.06.2020,UBS,0.1,14.0,UW96AW,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW96AW
1.26,1.25,16.12.2020,HypoVereinsbank/UniCredit,1.0,14.0,HW4HB0,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW4HB0
0.99,0.98,20.03.2020,DZ Bank AG,1.0,14.0,DD5W48,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD5W48
1.18,1.16,18.12.2019,Société Générale S.A.,1.0,13.0,SC97WZ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC97WZ
0.37,0.35,17.12.2018,CITI,1.0,13.9,CQ4V8X,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V8X
0.45,0.44,11.03.2019,UBS,1.0,14.0,UV5G92,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5G92
0.62,0.61,21.06.2019,Vontobel Financial Products GmbH,1.0,14.0,VL71FB,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/VL71FB
0.49,0.47,13.03.2019,HypoVereinsbank/UniCredit,1.0,14.0,HW9L09,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW9L09
0.45,0.43,11.03.2019,CITI,1.0,14.3,CQ4V9Q,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V9Q
0.4,0.39,11.02.2019,UBS,1.0,14.0,UV5AQK,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5AQK
