ask,bid,due,emittent,ratio,strike,wkn,wkn_link
0.0,4.0,19.12.2018,Commerzbank AG,1.1204,9.8176,CD8CPD,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CD8CPD
0.38,0.36,19.06.2019,HSBC,0.112,10.71,TD6B05,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD6B05
0.0,0.0,19.12.2018,Morgan Stanley & Co. International plc,1.0,10.5,MF2YVP,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/MF2YVP
0.33,0.32,10.12.2018,UBS,0.112,10.71,UW19UF,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW19UF
0.38,0.34,21.12.2018,Société Générale S.A.,0.112,10.26,SE5TMH,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SE5TMH
2.51,2.5,13.03.2019,HypoVereinsbank/UniCredit,1.0,11.6,HX04RZ,http://zertifikat.finanzen.nethttp://g.finanzen.net/hvb-ko-suche?produkt=/optionsscheine/Auf-Deutsche-Bank-AG/HX04RZ
2.77,2.73,21.12.2018,DZ Bank AG,1.0,11.0,DD6CH9,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD6CH9
0.4,0.39,20.12.2019,Goldman Sachs,0.1,10.0,GM0LSY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/GM0LSY
0.36,0.35,10.12.2018,UBS,0.112,10.26,UW16QC,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW16QC
4.05,4.0,19.12.2018,HSBC,1.1204,9.8176,TD6T97,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD6T97
0.4,0.39,17.12.2018,CITI,0.112,9.8176,CX6ZZA,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CX6ZZA
2.59,2.55,21.12.2018,DZ Bank AG,1.0,11.25,DD47AM,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD47AM
0.3,0.29,10.12.2018,UBS,0.112,11.16,UW172C,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW172C
3.11,3.07,21.06.2019,DZ Bank AG,1.0,11.0,DD6CJB,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD6CJB
